Entity,Code,Year,Social protection,Health,General public services,Education,Economic affairs,Defense,Public order and safety,Housing and community amenities,"Recreation, culture and religion",Environmental protection
Australia,AUS,2007,26.693,17.899,10.385,14.967,13.168,5.186,5.123,2.101,2.614,1.864
Australia,AUS,2008,29.408,17.178,9.787,14.676,12.585,5.271,4.786,1.985,2.445,1.879
Australia,AUS,2009,25.217,17.478,10.717,16.916,12.816,5.274,4.839,2.05,2.558,2.135
Australia,AUS,2010,25.408,18.056,11.018,16.993,11.806,5.09,4.88,1.826,2.552,2.372
Australia,AUS,2011,25.556,18.743,11.853,15.336,12.268,4.852,4.788,1.503,2.461,2.64
Australia,AUS,2012,25.995,18.638,11.478,15.487,12.154,4.891,4.734,1.492,2.392,2.738
Australia,AUS,2013,26.303,18.332,11.942,14.992,12.377,4.95,4.632,1.458,2.343,2.671
Australia,AUS,2014,26.822,18.356,12.026,14.84,12.058,5.217,4.774,1.494,2.303,2.11
Australia,AUS,2015,26.719,18.927,11.662,14.825,11.485,5.561,4.841,1.411,2.396,2.173
Australia,AUS,2016,25.912,19.708,11.337,14.78,11.644,5.733,4.899,1.396,2.342,2.249
Australia,AUS,2017,25.225,19.383,10.66,15.025,12.488,5.809,5.095,1.436,2.525,2.354
Australia,AUS,2018,25.224,19.209,10.34,15.244,12.514,5.944,5.186,1.576,2.431,2.333
Australia,AUS,2019,25.038,17.871,9.145,14.437,17.173,5.701,4.804,1.426,2.212,2.195
Australia,AUS,2020,25.546,17.796,7.948,13.191,19.825,5.373,4.645,1.469,2.113,2.094
Australia,AUS,2021,25.909,19.8,9.186,13.965,14.308,5.785,4.934,1.637,2.231,2.244
Australia,AUS,2022,25.27,19.521,10.272,14.287,13.46,5.724,5.031,1.666,2.337,2.431
Australia,AUS,2023,26.462,18.973,10.588,14.129,13.089,5.799,4.914,1.546,2.235,2.265
Austria,AUT,2007,38.83,15.308,15.333,9.476,12.261,1.558,2.622,0.808,2.918,0.886
Austria,AUT,2008,38.646,15.427,14.443,9.671,12.969,1.808,2.65,0.773,2.722,0.891
Austria,AUT,2009,38.665,14.86,14.281,9.421,14.454,1.317,2.576,0.833,2.61,0.984
Austria,AUT,2010,39.854,15.275,14.436,9.67,12.687,1.234,2.557,0.763,2.479,1.044
Austria,AUT,2011,40.047,15.464,14.418,9.791,12.249,1.25,2.582,0.749,2.526,0.923
Austria,AUT,2012,40.16,15.445,14.103,9.744,12.667,1.168,2.588,0.733,2.492,0.9
Austria,AUT,2013,40.514,15.419,13.852,9.698,12.748,1.225,2.532,0.71,2.482,0.822
Austria,AUT,2014,40.82,15.616,13.093,9.525,13.332,1.133,2.552,0.707,2.399,0.823
Austria,AUT,2015,41.538,16.214,13.342,9.696,11.646,1.108,2.638,0.712,2.413,0.692
Austria,AUT,2016,41.657,16.319,12.891,9.728,11.729,1.204,2.668,0.709,2.391,0.705
Austria,AUT,2017,41.56,16.63,12.109,9.779,12.148,1.221,2.755,0.689,2.397,0.713
Austria,AUT,2018,41.193,16.961,12.059,9.768,12.254,1.208,2.772,0.695,2.341,0.749
Austria,AUT,2019,41.263,17.11,11.747,9.853,12.236,1.251,2.731,0.659,2.367,0.785
Austria,AUT,2020,39.765,16.137,10.716,8.823,17.693,1.092,2.504,0.498,2.077,0.695
Austria,AUT,2021,39.062,18.028,10.33,8.748,16.808,1.068,2.491,0.57,2.162,0.735
