Entity,Code,Year,Electric cars sold,Non-electric car sales
Australia,AUS,2012,250,861819
Australia,AUS,2013,290,878498
Australia,AUS,2014,1320,878680
Australia,AUS,2015,1760,924556
Australia,AUS,2016,1370,911963
Australia,AUS,2017,2300,917700
Australia,AUS,2018,3600,874449
Australia,AUS,2019,9200,757467
Australia,AUS,2020,6900,620373
Australia,AUS,2021,20400,708171
Australia,AUS,2022,38900,739100
Australia,AUS,2023,98000,718667
Australia,AUS,2024,112000,749538
Austria,AUT,2015,2800,308311
Austria,AUT,2016,5000,328333
Austria,AUT,2017,7100,347900
Austria,AUT,2018,9100,340900
Austria,AUT,2019,11500,317071
Austria,AUT,2020,23600,224821
Austria,AUT,2021,48000,192000
Austria,AUT,2022,47000,166636
Austria,AUT,2023,65000,175741
Austria,AUT,2024,62000,196333
Belgium,BEL,2010,56,559944
Belgium,BEL,2011,296,568935
Belgium,BEL,2012,910,478037
Belgium,BEL,2013,560,508531
Belgium,BEL,2014,1950,473660
Belgium,BEL,2015,3900,509258
Belgium,BEL,2016,9200,531976
Belgium,BEL,2017,14700,550685
Belgium,BEL,2018,13200,536800
Belgium,BEL,2019,17700,535425
Belgium,BEL,2020,47000,380273
Belgium,BEL,2021,71000,323444
Belgium,BEL,2022,97000,276077
Belgium,BEL,2023,193000,277732
Belgium,BEL,2024,197000,261140
Brazil,BRA,2012,40,3076883
Brazil,BRA,2013,72,2999928
Brazil,BRA,2015,89,2118959
Brazil,BRA,2016,177,1608914
Brazil,BRA,2017,430,1869135
Brazil,BRA,2018,410,2049590
Brazil,BRA,2019,1940,2307584
Brazil,BRA,2020,2600,1622400
Brazil,BRA,2021,13900,1496970
Brazil,BRA,2022,18500,1523167
Brazil,BRA,2023,52000,1681333
Brazil,BRA,2024,125000,1828125
Canada,CAN,2011,520,1267773
Canada,CAN,2012,1920,1369509
Canada,CAN,2013,3100,1405991
Canada,CAN,2014,5100,1452043
Canada,CAN,2015,6800,1504311
Canada,CAN,2016,11600,1514716
Canada,CAN,2017,16700,1653300
Canada,CAN,2018,44000,1527429
Canada,CAN,2019,51000,1449000
Canada,CAN,2020,51000,1163286
Canada,CAN,2021,87000,1272375
Canada,CAN,2022,115000,1095526
Canada,CAN,2023,171000,1144385
Canada,CAN,2024,252000,1230353
Chile,CHL,2014,19,240487
Chile,CHL,2015,36,189438
Chile,CHL,2016,31,206636
Chile,CHL,2017,135,210803
Chile,CHL,2018,198,247302
Chile,CHL,2019,305,217552
Chile,CHL,2020,239,119261
Chile,CHL,2021,860,295692
Chile,CHL,2022,1770,293230
Chile,CHL,2023,2110,279223
Chile,CHL,2024,5600,261067
China,CHN,2010,1440,14398560
China,CHN,2011,5120,15053704
China,CHN,2012,9860,13496989
China,CHN,2013,15730,16542165
China,CHN,2014,73000,18177000
China,CHN,2015,211000,20889000
China,CHN,2016,339000,22261000
China,CHN,2017,580000,23586667
China,CHN,2018,1090000,22101489
China,CHN,2019,1060000,20140000
China,CHN,2020,1140000,18860000
China,CHN,2021,3250000,18416667
China,CHN,2022,5900000,14444828
China,CHN,2023,8100000,13215790
China,CHN,2024,11300000,12241667
Denmark,DNK,2011,422,168378
Denmark,DNK,2012,502,172601
Denmark,DNK,2013,510,181633
Denmark,DNK,2014,1690,184024
Denmark,DNK,2015,4720,200497
Denmark,DNK,2016,1870,220749
Denmark,DNK,2017,1330,220337
Denmark,DNK,2018,4600,214448
Denmark,DNK,2019,9400,214410
Denmark,DNK,2020,32000,168000
Denmark,DNK,2021,65000,120714
Denmark,DNK,2022,57000,93000
Denmark,DNK,2023,80000,93913
Denmark,DNK,2024,96100,75507
Europe,,2010,1810,15081523
Europe,,2011,11410,15407509
Europe,,2012,28200,14071800
Europe,,2013,59000,13661930
Europe,,2014,96000,14021647
Europe,,2015,162000,16038000
Europe,,2016,233000,16409857
Europe,,2017,320000,17457778
Europe,,2018,390000,16566522
Europe,,2019,570000,16702727
Europe,,2020,1380000,12420000
