country_name,country_code,year,Tax
Argentina,AR,2000,
Canada,CA,2000,
Chile,CL,2000,
Colombia,CO,2000,
Denmark,DK,2000,
Estonia,EE,2000,0
Finland,FI,2000,16.392948
France,FR,2000,
Iceland,IS,2000,
Ireland,IE,2000,
Israel,IL,2000,
Japan,JP,2000,
Latvia,LV,2000,
Liechtenstein,LI,2000,
Luxembourg,LU,2000,
Mexico,MX,2000,
Netherlands,NL,2000,
Norway,NO,2000,85.39033896
Poland,PL,2000,0.041870202
Portugal,PT,2000,
Singapore,SG,2000,
Slovenia,SI,2000,0
South Africa,ZA,2000,
Spain,ES,2000,
Sweden,SE,2000,42.67589389
Switzerland,CH,2000,
Ukraine,UA,2000,
Uruguay,UY,2000,
Albania,AL,2000,
China,CN,2000,
Hungary,HU,2000,
Mexico,MX,2000,
Andorra,AD,2000,
Argentina,AR,2001,
Canada,CA,2001,
Chile,CL,2001,
Colombia,CO,2001,
Denmark,DK,2001,
Estonia,EE,2001,0
Finland,FI,2001,15.155712
France,FR,2001,
Iceland,IS,2001,
Ireland,IE,2001,
Israel,IL,2001,
Japan,JP,2001,
Latvia,LV,2001,
Liechtenstein,LI,2001,
Luxembourg,LU,2001,
Mexico,MX,2001,
Netherlands,NL,2001,
Norway,NO,2001,58.97506166
Poland,PL,2001,0.036869531
Portugal,PT,2001,
Singapore,SG,2001,
Slovenia,SI,2001,0
South Africa,ZA,2001,
Spain,ES,2001,
Sweden,SE,2001,51.02286402
Switzerland,CH,2001,
Ukraine,UA,2001,
Uruguay,UY,2001,
Albania,AL,2001,
China,CN,2001,
Hungary,HU,2001,
Mexico,MX,2001,
Andorra,AD,2001,
Argentina,AR,2002,
Canada,CA,2002,
Chile,CL,2002,
Colombia,CO,2002,
Denmark,DK,2002,
Estonia,EE,2002,0
Finland,FI,2002,14.970384
France,FR,2002,
Iceland,IS,2002,
Ireland,IE,2002,
Israel,IL,2002,
Japan,JP,2002,
Latvia,LV,2002,
Liechtenstein,LI,2002,
Luxembourg,LU,2002,
Mexico,MX,2002,
