Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2481857123,2929446578,3279343544,3648573136,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,24209933141,24963256383,27078015031,31774831212,30284919141,33812194393,36933907897,38451060071,41749510603,47056941587,47602358397,52197888096,56735886019,73096340027,89551627351,95312337397,96023171890,1.09228E+11,1.24106E+11,1.42125E+11,1.78504E+11,1.85158E+11,1.784E+11,1.85817E+11,1.70095E+11,1.49394E+11,1.60633E+11,1.90269E+11,2.07464E+11,2.20706E+11,2.56505E+11,2.77043E+11,2.41298E+11,2.40095E+11,2.43571E+11,2.73433E+11,2.73531E+11,2.88378E+11,2.68833E+11,2.65429E+11,2.87202E+11,2.60992E+11,2.67815E+11,3.55716E+11,4.42696E+11,5.16661E+11,5.80241E+11,6.65599E+11,7.13502E+11,7.15485E+11,8.4941E+11,9.45439E+11,9.52998E+11,9.62441E+11,9.78744E+11,8.98309E+11,8.28961E+11,9.73025E+11,1.01229E+12,1.00975E+12,9.33407E+11,1.0856E+12,1.19164E+12,1.17691E+12,1.28768E+12
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521418060,2813571754,3825701439,4520946819,5224896719,6203256539,6971758282,9747886187,10109297048,12416152732,15856668556,17805098206,19907329778,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14259995441,14497243872,17152234637,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,11905107707,12708033250,13630920944,14469258365,15803936677,16921238012,18034328958,16493846012,17022944325,19301601791,26697431082,24497038201,29489666871,36891334761,49688193509,57280847676,68386320279,71790695366,78779099935,96682239333,1.20501E+11,2.16911E+11,1.95918E+11,1.51223E+11,1.31218E+11,1.37803E+11,1.09237E+11,1.12295E+11,1.11227E+11,1.03934E+11,1.23711E+11,1.29942E+11,1.24599E+11,1.29733E+11,1.34777E+11,2.07177E+11,2.62601E+11,2.75742E+11,2.96152E+11,1.39468E+11,1.4214E+11,1.50058E+11,1.7939E+11,2.07755E+11,2.58567E+11,3.17096E+11,4.02724E+11,4.71538E+11,5.75059E+11,5.15474E+11,6.0628E+11,6.91187E+11,7.48127E+11,8.44203E+11,9.03934E+11,7.78022E+11,7.00028E+11,6.94051E+11,7.7784E+11,8.33289E+11,7.97295E+11,8.58115E+11,8.9364E+11,8.14729E+11,6.70026E+11
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503401,5550483036,5550483036,5784341596,6131475065,7554065410,7072536109,8084412414,8769836769,10201780977,11229515599,10603784541,8307810974,5768720422,4438321017,5538749260,7526421519,7648380196,6506221616,6152923310,9129594970,8936079118,15285592370,17812704586,23552057679,36970900884,52381025141,65266415494,88538665085,70307196182,83799474070,1.1179E+11,1.28053E+11,1.32339E+11,1.35967E+11,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,1.044E+11,84875162197,80396942242
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,1578102105,1808177156,1861163170,1881412587,1857337995,1897050117,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880950864,2905092799,3234486232,2293666030,2600356999,3283941510,3584570165,4059064033,4515003117,5801712040,7406645793,8256658250,9150528132,11116937870,13258506375,12335540656,12086545641,12973755875,12246499748,12796985886,13296322588,11470171827,11988668785,13258268436,15379508330,15585111614,15241455556,18032009220,19017244117,23547180412,27177735528
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617711.1,89406608.15,113414397.4,150841639.3,186557082,220112572.2,227283850.8,253997897.2,308020261.2,411548748.4,446377776.8,388983266.2,375914743.6,327850042.5,330073080.6,346742714.7,481996012.9,611299924.5,721425939.2,795489582,1028989692,1106891362,1209992020,1007090270,1017544069,1178745283,1224024139,1180645572,1211953994,1240295103,1432606189,1548265808,1764279824,2366941809,2900245324,3161084091,3459337987,3957625367,4102319399,3688976341,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324647529,3380612573,3785067332,4039844390
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,19997084375,20327670812,22362957746,24811627226,26769289696,28349126512,30598797626,34970677299,38561008452,43091222311,49926770850,59966658269,79125367985,1.52189E+11,1.68159E+11,2.09993E+11,2.4227E+11,2.65398E+11,3.58111E+11,4.86406E+11,4.94916E+11,4.6308E+11,4.37471E+11,4.40182E+11,4.32868E+11,4.05473E+11,4.31258E+11,4.29383E+11,4.57369E+11,6.41712E+11,4.67953E+11,4.67794E+11,4.78927E+11,4.9988E+11,5.2848E+11,5.7091E+11,6.14597E+11,5.9879E+11,6.65415E+11,7.63412E+11,7.44729E+11,7.46649E+11,8.30076E+11,9.87316E+11,1.21008E+12,1.43947E+12,1.67464E+12,2.11807E+12,1.82985E+12,2.15535E+12,2.56502E+12,2.80538E+12,2.87428E+12,2.9262E+12,2.56863E+12,2.5241E+12,2.59848E+12,2.90733E+12,2.94936E+12,2.59642E+12,3.07791E+12,3.73858E+12,3.606E+12,3.70477E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,685986701.3,939893599.6,1415086929,4231243616,11651505689,14720728249,19213158779,24871775165,23775764225,31225659621,43599160050,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,3.00189E+11,3.60833E+11,3.8461E+11,4.00219E+11,4.14105E+11,3.70275E+11,3.69255E+11,3.90517E+11,4.27049E+11,4.1799E+11,3.49473E+11,4.15179E+11,5.02732E+11,5.1413E+11,5.37079E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,15865474315,20132220375,18337691145,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499892,56781000101,89049453088,69252328952,76961923741,78676842367,84307486837,1.03979E+11,1.16915E+11,88150891728,1.05872E+11,1.08811E+11,1.2689E+11,76629728760,1.41353E+11,1.8972E+11,2.28779E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30158E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.85741E+11,4.86564E+11,6.3279E+11,6.46075E+11,6.33267E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863449,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469511,6384452067,9206301270,11662040714,8647937081,9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513506553,24085749592,25786585950
