iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha (Di?n tích r?ng b? m?t - ha),gfw_gross_emissions_co2e_all_gases__Mg (phát th?i khí nhà kính - t?n)
AFG,2001,88.09271247,27986.28412
AGO,2001,101218.5046,39294739.8
AIA,2001,3.878460708,869.1802505
ALA,2001,396.9736305,76145.06848
ALB,2001,3728.669851,1417747.08
AND,2001,1.654212948,660.5152409
ARG,2001,147801.6797,32550580.95
ARM,2001,131.8406123,41307.4116
ATG,2001,24.07418944,7815.014219
AUS,2001,218813.5776,29028528.77
AUT,2001,6938.994707,2818397.5
AZE,2001,553.2993561,165141.1577
BDI,2001,1417.246957,506023.0889
BEL,2001,971.4881953,424997.9247
BEN,2001,3748.189077,1167876.588
BES,2001,3.031857253,319.9989643
BFA,2001,58.87265979,286271.4408
BGD,2001,4587.279912,2569187.134
BGR,2001,8202.263664,2110234.013
BHS,2001,432.9994197,88088.79927
BIH,2001,1496.051936,501472.1981
BLR,2001,18358.91711,5007433.895
BLZ,2001,8238.359833,3485151.534
BMU,2001,0.195819794,89.87626819
BOL,2001,140210.2219,63768187.64
BRA,2001,2746284.638,1221138975
BRB,2001,12.36746156,3763.491007
BRN,2001,1244.453823,823190.282
BTN,2001,297.5908842,170406.0556
BWA,2001,130.9838815,26251.23768
CAF,2001,31282.51372,15031912.47
CAN,2001,1358153.551,418315291.3
CHE,2001,1164.740312,545664.2522
CHL,2001,72711.24448,21253941.76
CHN,2001,230308.1206,89847224.59
CIV,2001,122694.8362,48808595.87
CMR,2001,39203.71676,20479543.5
COD,2001,455531.8355,270759203.1
COG,2001,27030.84964,14727544.22
COL,2001,229960.9907,118186872.3
COM,2001,36.97369321,19283.27809
CPV,2001,14.27290159,0
CRI,2001,15483.27238,7410096.923
CUB,2001,18942.90878,5898424.484
CUW,2001,0.902788526,185.4635622
CYM,2001,20.6816122,4468.027273
CYP,2001,78.62890207,13247.77033
CZE,2001,3451.145835,1315384.857
DEU,2001,15286.52753,6229839.688
DMA,2001,22.79275551,13209.7317
DNK,2001,4329.295853,1063653.435
DOM,2001,11247.53863,4371497.708
DZA,2001,3468.200757,574332.0035
ECU,2001,45079.70283,26015231.23
EGY,2001,147.7649427,45260.97557
ERI,2001,2.529524333,1234.126102
ESP,2001,32811.05352,9700001.52
EST,2001,16872.51516,3754501.85
ETH,2001,11947.24724,5528209.439
FIN,2001,151003.3729,28289648.4
FJI,2001,1097.764054,538322.2676
FRA,2001,34420.96339,13050980.35
GAB,2001,15082.63773,8854535.193
GBR,2001,23247.50049,9039262.106
GEO,2001,666.5563666,252162.9407
GGY,2001,1.915356071,485.6550786
GHA,2001,43675.47234,17958339.18
GIB,2001,0.374571274,90.40245851
GIN,2001,18571.44958,7425136.584
GLP,2001,320.7023856,127433.3625
GMB,2001,3.297421863,3328.595366
GNB,2001,2362.153028,787524.344
GNQ,2001,3585.4191,2258577.891
GRC,2001,12616.99805,2498293.738
GRD,2001,32.81085887,18952.09727
GTM,2001,53315.18159,23364079.7
GUF,2001,3033.287749,2303321.871
GUY,2001,10039.86776,5890029.953
HND,2001,42379.94942,18878538.41
HRV,2001,3378.489604,1127779.725
HTI,2001,2468.755987,918633.4718
HUN,2001,7522.577033,2598518.977
IDN,2001,744083.9965,503083288.5
IMN,2001,31.95087523,9301.469078
IND,2001,56791.85425,31996637.12
IRL,2001,9552.512807,4383909.802
IRN,2001,332.422266,88436.16285
IRQ,2001,16.02663642,4706.137871
ISR,2001,145.9652381,35112.17225
ITA,2001,9870.964425,2689954.331
JAM,2001,1246.241523,648660.9247
JEY,2001,7.392677741,2792.466819
JOR,2001,0.522028031,128.8148731
JPN,2001,23977.46745,9156851.85
KAZ,2001,4534.702741,1100963.54
KEN,2001,19027.36486,9216298.88
KGZ,2001,589.1680235,142541.3653
KHM,2001,28491.21509,15120620.62
KNA,2001,45.4625956,20433.54593
KOR,2001,5504.162505,1413778.327
LAO,2001,36460.46616,20305056.32
LBN,2001,299.3406143,79312.15021
LBR,2001,29185.51739,14076278.84
LBY,2001,17.15270152,3182.806341
LCA,2001,31.08046321,15775.45809
LIE,2001,3.371316861,1778.636893
LKA,2001,3759.663202,1577358.03
LSO,2001,1.140052131,391.9794121
LTU,2001,7961.644147,2081090.737
LUX,2001,68.60969197,30911.66439
LVA,2001,24907.66437,6240980.077
MAF,2001,2.123655985,669.6455313
MAR,2001,1868.288606,491698.6562
MDA,2001,146.6880607,37862.70106
MDG,2001,86956.8327,46537171.22
MDV,2001,4.743487262,377.4134382
MEX,2001,158266.7343,55114705.17
MKD,2001,2059.979441,615484.7558
MLI,2001,347.8706881,171865.2393
MLT,2001,1.251912538,302.5998819
MMR,2001,44804.16512,25293842.59
MNE,2001,858.6064135,339319.9045
MNG,2001,21056.672,4749498.619
MOZ,2001,60941.27305,20783025.83
MRT,2001,31.83843537,8688.332079
MSR,2001,7.078555306,3141.908258
MTQ,2001,192.9652483,95613.37484
MUS,2001,156.5813835,94862.77945
MWI,2001,2492.349445,987276.3958
MYS,2001,332805.9581,134301302.8
MYT,2001,31.30269367,16801.00589
NAM,2001,417.8061197,97079.82036
NCL,2001,697.9210994,269614.5806
NER,2001,0.150195665,25.5985313
NGA,2001,43386.41818,15242038.24
NIC,2001,44088.63091,21190743.28
NLD,2001,736.4216234,267446.6548
NOR,2001,22445.90139,4566932.779
NPL,2001,1523.194752,919665.7413
NZL,2001,50528.2368,21180797.19
PAK,2001,191.3022295,63629.00529
PAN,2001,18267.61205,9853245.808
PER,2001,86007.33958,54543256.02
PHL,2001,35165.04253,20779324.98
PLW,2001,52.11206112,37078.77271
PNG,2001,36004.98263,26106380.3
POL,2001,19066.05238,5502367.67
PRI,2001,1252.362231,564119.9743
PRK,2001,11944.80496,2797474.047
PRT,2001,24404.85239,6238824.598
PRY,2001,150236.6218,37588477.64
PSE,2001,2.219302278,513.9163954
REU,2001,28.61721413,17148.06217
ROU,2001,17535.31403,6779037.243
RUS,2001,1826603.242,295423570.2
RWA,2001,1516.766321,606077.3992
SDN,2001,26.94295316,8494.33707
SEN,2001,70.59427485,40931.11136
SGP,2001,43.45389467,13723.1771
SLB,2001,2187.116825,1626321.001
SLE,2001,18596.4253,7790305.105
SLV,2001,9499.765295,3731614.023
SOM,2001,339.3039459,81120.21306
SRB,2001,2379.528889,940083.8418
SSD,2001,4906.110762,1407375.592
STP,2001,77.22190502,46576.80546
SUR,2001,3689.023596,2730338.544
SVK,2001,3897.394705,1547799.946
SVN,2001,612.2146946,266201.665
SWE,2001,144927.3042,27716825.65
SWZ,2001,6734.922901,3776114.833
SXM,2001,1.318283677,1173.050442
SYC,2001,0.379574768,120.3808408
SYR,2001,267.4241914,66265.84612
TCA,2001,7.72720305,1550.253012
TCD,2001,883.6264799,389103.985
TGO,2001,2763.328435,779189.9418
THA,2001,36092.89513,19745119.62
TJK,2001,61.53772785,16209.1027
TKM,2001,46.21279329,12298.63716
TLS,2001,677.5022312,418099.1937
TTO,2001,1829.096035,897385.5086
TUN,2001,230.7326188,61722.35684
TUR,2001,22909.88025,5362694.27
TWN,2001,1159.068116,611013.3711
TZA,2001,82214.12863,30464022.28
UGA,2001,29658.71674,11882690.75
UKR,2001,28826.43137,8966090.918
UMI,2001,2.11971068,0
URY,2001,7661.660956,1778380.161
USA,2001,1943318.243,623378603
UZB,2001,294.820902,73715.12069
VCT,2001,6.896545779,3556.696917
VEN,2001,123901.0905,49775583.76
VGB,2001,4.092501168,1763.063806
VIR,2001,122.5133707,48247.22579
VNM,2001,47456.83041,24262725.83
VUT,2001,124.3332979,69640.82841
XAD,2001,3.297978524,798.0289596
XKO,2001,1122.033398,450482.0398
Z01,2001,98.92095867,40006.91158
Z06,2001,26.46816555,9842.381212
Z07,2001,5470.188323,3198944.694
ZAF,2001,77644.69023,37409393.95
ZMB,2001,30104.09588,12543711.76
ZNC,2001,35.32316643,9888.181401
ZWE,2001,8190.981147,3140515.368
ABW,2002,0.526107732,289.581373
AFG,2002,178.9478552,41761.70454
AGO,2002,61008.43203,21107942.66
AIA,2002,0.146329651,38.50093741
ALA,2002,277.8198771,55690.21757
ALB,2002,889.1555445,348555.3371
AND,2002,1.255022224,539.0096654
